Index, Value
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1.99997
46,1.99983
47,1.99904
48,1.99559
49,1.98303
50,1.94536
51,1.85262
52,1.66715
53,1.3704
54,0.999463
55,0.650344
56,0.417598
57,0.3196
58,0.3
59,0.3
60,0.3
61,0.3
62,0.3
63,0.3
64,0.3
65,0.3
66,0.3
67,0.3
68,0.3
69,0.3
70,0.3
71,0.3
72,0.3
73,0.3
74,0.3
75,0.3
76,0.3
77,0.3
78,0.3
79,0.3
80,0.3
81,0.3
82,0.3
83,0.3
84,0.3
85,0.3
86,0.3
87,0.3
88,0.3
89,0.3
90,0.3
91,0.3
92,0.3
93,0.3
94,0.3
95,0.3
96,0.3
97,0.3
98,0.3
99,0.3
100,0.3
101,0.3
102,0.3
103,0.3
104,0.3
105,0.3
106,0.3
107,0.3
108,0.3
109,0.3
110,0.3
111,0.3
112,0.3
113,0.3
114,0.3
115,0.3
116,0.3
117,0.3
118,0.3
119,0.3
120,0.3
121,0.3
122,0.3
123,0.3
124,0.3
125,0.3
126,0.3
127,0.3
128,0.3
129,0.3
130,0.3
131,0.3
132,0.3
133,0.3
134,0.3
135,0.3
136,0.3
137,0.3
138,0.3
139,0.3
140,0.3
141,0.3
142,0.3
143,0.3
144,0.3
145,0.3
146,0.3
147,0.3
148,0.3
149,0.3
150,0.3
151,0.3
152,0.3
153,0.3
154,0.3
155,0.3
156,0.3
157,0.3
158,0.3
159,0.3
160,0.3
161,0.3
162,0.3
163,0.3
164,0.3
165,0.3
166,0.3
167,0.3
168,0.3
169,0.3
170,0.3
171,0.3
172,0.3
173,0.3
174,0.3
175,0.3
176,0.3
177,0.3
178,0.3
179,0.3
180,0.3
181,0.3
182,0.3
183,0.3
184,0.3
185,0.3
186,0.3
187,0.3
188,0.3
189,0.3
190,0.3
191,0.3
192,0.3
193,0.3
194,0.3
195,0.3
196,0.3
197,0.3
198,0.3
199,0.3
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,1.99997
243,1.99983
244,1.99904
245,1.99559
246,1.98303
247,1.94536
248,1.85262
249,1.66715
250,1.3704
251,0.999463
252,0.650344
253,0.417598
254,0.3196
255,0.3
256,0.3
257,0.3
258,0.3
259,0.3
260,0.3
261,0.3
262,0.3
263,0.3
264,0.3
265,0.3
266,0.3
267,0.3
268,0.3
269,0.3
270,0.3
271,0.3
272,0.3
273,0.3
274,0.3
275,0.3
276,0.3
277,0.3
278,0.3
279,0.3
280,0.3
281,0.3
282,0.3
283,0.3
284,0.3
285,0.3
286,0.3
287,0.3
288,0.3
289,0.3
290,0.3
291,0.3
292,0.3
293,0.3
294,0.3
295,0.3
296,0.3
297,0.3
298,0.3
299,0.3
300,0.3
301,0.3
302,0.3
303,0.3
304,0.3
305,0.3
306,0.3
307,0.3
308,0.3
309,0.3
310,0.3
311,0.3
312,0.3
313,0.3
314,0.3
315,0.3
316,0.3
317,0.3
318,0.3
319,0.3
320,0.3
321,0.3
322,0.3
323,0.3
324,0.3
325,0.3
326,0.3
327,0.3
328,0.3
329,0.3
330,0.3
331,0.3
332,0.3
333,0.3
334,0.3
335,0.3
336,0.3
337,0.3
338,0.3
339,0.3
340,0.3
341,0.3
342,0.3
343,0.3
344,0.3
345,0.3
346,0.3
347,0.3
348,0.3
349,0.3
350,0.3
351,0.3
352,0.3
353,0.3
354,0.3
355,0.3
356,0.3
357,0.3
358,0.3
359,0.3
360,0.3
361,0.3
362,0.3
363,0.3
364,0.3
365,0.3
366,0.3
367,0.3
368,0.3
369,0.3
370,0.3
371,0.3
372,0.3
373,0.3
374,0.3
375,0.3
376,0.3
377,0.3
378,0.3
379,0.3
380,0.3
381,0.3
382,0.3
383,0.3
384,0.3
385,0.3
386,0.3
387,0.3
388,0.3
